sd,ac,draw,rep,final_t,final_n
0.5,0,0,2,810,747
0.5,0,0,3,810,795
0.5,0,0,0,810,671
0.5,0,0,1,810,820
0.5,0,1,2,810,784
0.5,0,1,3,810,847
0.5,0,1,0,810,840
0.5,0,1,1,810,754
0.5,0,2,2,810,800
0.5,0,2,3,810,802
0.5,0,2,0,810,729
0.5,0,2,1,810,804
0.5,1,0,2,810,867
0.5,1,0,3,810,751
0.5,1,0,0,810,850
0.5,1,0,1,810,819
0.5,1,1,2,810,884
0.5,1,1,3,810,698
0.5,1,1,0,810,742
0.5,1,1,1,810,788
0.5,1,2,2,810,844
0.5,1,2,3,810,786
0.5,1,2,0,810,681
0.5,1,2,1,810,785
0.5,2,0,2,810,785
0.5,2,0,3,810,816
0.5,2,0,0,810,784
0.5,2,0,1,810,830
0.5,2,1,2,810,675
0.5,2,1,3,810,826
0.5,2,1,0,810,840
0.5,2,1,1,810,803
0.5,2,2,2,810,813
0.5,2,2,3,810,853
0.5,2,2,0,810,741
0.5,2,2,1,810,825
0.5,3,0,2,810,872
0.5,3,0,3,810,763
0.5,3,0,0,810,762
0.5,3,0,1,810,825
0.5,3,1,2,810,803
0.5,3,1,3,810,873
0.5,3,1,0,810,801
0.5,3,1,1,810,814
0.5,3,2,2,810,740
0.5,3,2,3,810,819
0.5,3,2,0,810,857
0.5,3,2,1,810,819
0.5,4,0,2,810,790
0.5,4,0,3,810,790
0.5,4,0,0,810,817
0.5,4,0,1,810,755
0.5,4,1,2,810,835
0.5,4,1,3,810,924
0.5,4,1,0,810,840
0.5,4,1,1,810,788
0.5,4,2,2,810,698
0.5,4,2,3,810,792
0.5,4,2,0,810,827
0.5,4,2,1,810,777
1.0,0,0,2,810,456
1.0,0,0,3,810,540
1.0,0,0,0,810,657
1.0,0,0,1,810,694
1.0,0,1,2,810,687
1.0,0,1,3,810,648
1.0,0,1,0,810,699
1.0,0,1,1,810,695
1.0,0,2,2,810,645
1.0,0,2,3,810,709
1.0,0,2,0,810,613
1.0,0,2,1,810,712
1.0,1,0,2,810,837
1.0,1,0,3,810,774
1.0,1,0,0,810,677
1.0,1,0,1,810,604
1.0,1,1,2,810,714
1.0,1,1,3,810,600
1.0,1,1,0,810,652
1.0,1,1,1,810,698
1.0,1,2,2,810,689
1.0,1,2,3,810,723
1.0,1,2,0,810,698
1.0,1,2,1,810,697
1.0,2,0,2,810,737
1.0,2,0,3,810,742
1.0,2,0,0,810,768
1.0,2,0,1,810,809
1.0,2,1,2,810,685
1.0,2,1,3,810,793
1.0,2,1,0,810,765
1.0,2,1,1,810,742
1.0,2,2,2,810,810
1.0,2,2,3,810,657
1.0,2,2,0,810,844
1.0,2,2,1,810,782
1.0,3,0,2,810,733
1.0,3,0,3,810,815
1.0,3,0,0,810,928
1.0,3,0,1,810,852
1.0,3,1,2,810,819
1.0,3,1,3,810,819
1.0,3,1,0,810,714
1.0,3,1,1,810,786
1.0,3,2,2,810,773
1.0,3,2,3,810,716
1.0,3,2,0,810,743
1.0,3,2,1,810,785
1.0,4,0,2,810,677
1.0,4,0,3,810,846
1.0,4,0,0,810,805
1.0,4,0,1,810,876
1.0,4,1,2,810,644
1.0,4,1,3,810,782
1.0,4,1,0,810,731
1.0,4,1,1,810,866
1.0,4,2,2,810,663
1.0,4,2,3,810,791
1.0,4,2,0,810,851
1.0,4,2,1,810,809
1.5,0,0,2,810,574
1.5,0,0,3,810,470
1.5,0,0,0,810,423
1.5,0,0,1,810,408
1.5,0,1,2,810,429
1.5,0,1,3,810,397
1.5,0,1,0,810,360
1.5,0,1,1,810,402
1.5,0,2,2,810,401
1.5,0,2,3,810,454
1.5,0,2,0,810,498
1.5,0,2,1,810,549
1.5,1,0,2,810,565
1.5,1,0,3,810,519
1.5,1,0,0,810,557
1.5,1,0,1,810,620
1.5,1,1,2,810,560
1.5,1,1,3,810,501
1.5,1,1,0,810,464
1.5,1,1,1,810,446
1.5,1,2,2,810,474
1.5,1,2,3,810,410
1.5,1,2,0,810,461
1.5,1,2,1,810,402
1.5,2,0,2,810,733
1.5,2,0,3,810,605
1.5,2,0,0,810,634
1.5,2,0,1,810,628
1.5,2,1,2,810,711
1.5,2,1,3,810,692
1.5,2,1,0,810,766
1.5,2,1,1,810,644
1.5,2,2,2,810,702
1.5,2,2,3,810,824
1.5,2,2,0,810,609
1.5,2,2,1,810,689
1.5,3,0,2,810,795
1.5,3,0,3,810,688
1.5,3,0,0,810,735
1.5,3,0,1,810,818
1.5,3,1,2,810,811
1.5,3,1,3,810,837
1.5,3,1,0,810,771
1.5,3,1,1,810,844
1.5,3,2,2,810,796
1.5,3,2,3,810,825
1.5,3,2,0,810,754
1.5,3,2,1,810,754
1.5,4,0,2,810,807
1.5,4,0,3,810,789
1.5,4,0,0,810,681
1.5,4,0,1,810,775
1.5,4,1,2,810,841
1.5,4,1,3,810,871
1.5,4,1,0,810,823
1.5,4,1,1,810,798
1.5,4,2,2,810,735
1.5,4,2,3,810,754
1.5,4,2,0,810,827
1.5,4,2,1,810,741
2.0,0,0,2,810,218
2.0,0,0,3,810,119
2.0,0,0,0,810,125
2.0,0,0,1,810,176
2.0,0,1,2,810,122
2.0,0,1,3,810,115
2.0,0,1,0,810,100
2.0,0,1,1,810,104
2.0,0,2,2,810,304
2.0,0,2,3,810,129
2.0,0,2,0,810,203
2.0,0,2,1,810,259
2.0,1,0,2,810,345
2.0,1,0,3,810,348
2.0,1,0,0,810,278
2.0,1,0,1,810,202
2.0,1,1,2,810,333
2.0,1,1,3,810,338
2.0,1,1,0,810,205
2.0,1,1,1,810,306
2.0,1,2,2,810,304
2.0,1,2,3,810,220
2.0,1,2,0,810,316
2.0,1,2,1,810,165
2.0,2,0,2,810,704
2.0,2,0,3,810,613
2.0,2,0,0,810,657
2.0,2,0,1,810,577
2.0,2,1,2,810,571
2.0,2,1,3,810,527
2.0,2,1,0,810,664
2.0,2,1,1,810,608
2.0,2,2,2,810,648
2.0,2,2,3,810,511
2.0,2,2,0,810,493
2.0,2,2,1,810,642
2.0,3,0,2,810,832
2.0,3,0,3,810,806
2.0,3,0,0,810,777
2.0,3,0,1,810,756
2.0,3,1,2,810,792
2.0,3,1,3,810,832
2.0,3,1,0,810,813
2.0,3,1,1,810,834
2.0,3,2,2,810,809
2.0,3,2,3,810,851
2.0,3,2,0,810,897
2.0,3,2,1,810,872
2.0,4,0,2,810,735
2.0,4,0,3,810,695
2.0,4,0,0,810,838
2.0,4,0,1,810,890
2.0,4,1,2,810,824
2.0,4,1,3,810,845
2.0,4,1,0,810,793
2.0,4,1,1,810,820
2.0,4,2,2,810,631
2.0,4,2,3,810,729
2.0,4,2,0,810,696
2.0,4,2,1,810,830
2.5,0,0,2,530,2
2.5,0,0,3,810,113
2.5,0,0,0,490,5
2.5,0,0,1,660,5
2.5,0,1,2,340,0
2.5,0,1,3,810,103
2.5,0,1,0,770,3
2.5,0,1,1,810,89
2.5,0,2,2,690,2
2.5,0,2,3,680,2
2.5,0,2,0,800,2
2.5,0,2,1,810,35
2.5,1,0,2,600,0
2.5,1,0,3,810,76
2.5,1,0,0,810,146
2.5,1,0,1,810,51
2.5,1,1,2,810,21
2.5,1,1,3,810,33
2.5,1,1,0,810,87
2.5,1,1,1,810,117
2.5,1,2,2,810,70
2.5,1,2,3,810,43
2.5,1,2,0,810,12
2.5,1,2,1,810,55
2.5,2,0,2,810,504
2.5,2,0,3,810,439
2.5,2,0,0,810,506
2.5,2,0,1,810,625
2.5,2,1,2,810,352
2.5,2,1,3,810,441
2.5,2,1,0,810,342
2.5,2,1,1,810,443
2.5,2,2,2,810,382
2.5,2,2,3,810,410
2.5,2,2,0,810,464
2.5,2,2,1,810,534
2.5,3,0,2,810,713
2.5,3,0,3,810,823
2.5,3,0,0,810,834
2.5,3,0,1,810,884
2.5,3,1,2,810,858
2.5,3,1,3,810,704
2.5,3,1,0,810,749
2.5,3,1,1,810,821
2.5,3,2,2,810,825
2.5,3,2,3,810,621
2.5,3,2,0,810,779
2.5,3,2,1,810,684
2.5,4,0,2,810,806
2.5,4,0,3,810,831
2.5,4,0,0,810,749
2.5,4,0,1,810,774
2.5,4,1,2,810,788
2.5,4,1,3,810,714
2.5,4,1,0,810,884
2.5,4,1,1,810,747
2.5,4,2,2,810,718
2.5,4,2,3,810,917
2.5,4,2,0,810,781
2.5,4,2,1,810,889
3.0,0,0,2,300,3
3.0,0,0,3,810,20
3.0,0,0,0,360,3
3.0,0,0,1,520,3
3.0,0,1,2,300,12
3.0,0,1,3,410,2
3.0,0,1,0,370,2
3.0,0,1,1,620,5
3.0,0,2,2,370,7
3.0,0,2,3,810,64
3.0,0,2,0,810,18
3.0,0,2,1,760,6
3.0,1,0,2,330,5
3.0,1,0,3,810,33
3.0,1,0,0,810,21
3.0,1,0,1,750,3
3.0,1,1,2,230,3
3.0,1,1,3,490,2
3.0,1,1,0,810,6
3.0,1,1,1,390,0
3.0,1,2,2,670,0
3.0,1,2,3,370,4
3.0,1,2,0,220,1
3.0,1,2,1,610,5
3.0,2,0,2,810,253
3.0,2,0,3,810,221
3.0,2,0,0,810,297
3.0,2,0,1,810,137
3.0,2,1,2,810,329
3.0,2,1,3,810,188
3.0,2,1,0,810,318
3.0,2,1,1,810,248
3.0,2,2,2,810,260
3.0,2,2,3,810,163
3.0,2,2,0,810,152
3.0,2,2,1,810,318
3.0,3,0,2,810,810
3.0,3,0,3,810,905
3.0,3,0,0,810,658
3.0,3,0,1,810,733
3.0,3,1,2,810,737
3.0,3,1,3,810,907
3.0,3,1,0,810,705
3.0,3,1,1,810,746
3.0,3,2,2,810,800
3.0,3,2,3,810,822
3.0,3,2,0,810,751
3.0,3,2,1,810,655
3.0,4,0,2,810,786
3.0,4,0,3,810,778
3.0,4,0,0,810,775
3.0,4,0,1,810,822
3.0,4,1,2,810,621
3.0,4,1,3,810,783
3.0,4,1,0,810,722
3.0,4,1,1,810,777
3.0,4,2,2,810,790
3.0,4,2,3,810,806
3.0,4,2,0,810,811
3.0,4,2,1,810,788
