"parameter","level","resist","recover","rec_rel","rec_time","persistence"
"autocorrelation",0,0.0680800501960001,0.486907655441188,0.554987705637188,396.559829059829,0.28453916619929
"autocorrelation",2,0.0665860981420894,0.4842405412483,0.550826639390389,402.949838932352,0.424603914259087
"autocorrelation",4,0.0703877383848352,0.531736704983968,0.602124443368803,405.883432767324,0.429951690821256
"patch_sd",0,0.0658268286951406,0.52629567408868,0.592122502783821,416.789862724393,0.375185185185185
"patch_sd",1,0.067993959364451,0.51736560303374,0.585359562398191,407.889296432144,0.395084599234284
"patch_sd",2,0.068820086885931,0.487104780933574,0.555924867819505,396.641276750091,0.364420552569071
"slope",0.8,0.07502085228101,0.582415842321995,0.657436694603005,397.843137254902,0.500952380952381
"slope",1,0.0707746893967912,0.515837709775608,0.586612399172399,434.008385744235,0.404667407525004
"slope",1.2,0.0469468997157314,0.313343865952882,0.360290765668614,366.142093200917,0.22946587058254
"dispersal",1.5,0.0242837485924635,0.447782809330593,0.472066557923056,479.543352601156,0.31119936457506
"dispersal",3,0.0800986539195395,0.550765746492116,0.630864400411656,400.610500610501,0.663276656602574
"dispersal",6,0.0979202706005951,0.413302204859781,0.511222475460376,274.931662870159,0.160115979381443
"mutation",0,0.0605334368281338,0.240116107834929,0.300649544663062,333.589473684211,0.326116947893452
"mutation",0.75,0.073570873473298,0.702984277333113,0.776555150806411,456.986763560862,0.432518937373306
