slope,disp,mutsd,pert_treat,patch_sd,ac,draw,batch,rep,base_n,base_usd,base_xsd,base_xmean,trough_n,trough_t,trough_usd,trough_xsd,trough_xmean,peak_n,peak_t,final_n,final_t,final_usd,final_xsd,final_xmean,final_mal,n_steps,survived
0.8,1.5,0,10,0,0,0,1,0,1757.5,23.82545,29.8226,48.4862,3.0,290.0,29.2474,37.135,27.5113,3.0,290.0,3.0,290.0,29.2474,37.135,27.5113,0.589521,29,0
0.8,1.5,0,10,0,0,0,1,1,1691.5,23.42425,29.345750000000002,49.6352,3.0,290.0,25.3844,32.6786,64.4497,3.0,290.0,3.0,290.0,25.3844,32.6786,64.4497,0.96048,29,0
0.8,1.5,0,10,0,0,0,1,2,1710.0,24.1329,30.183,49.70515,16.0,280.0,24.3802,30.442,53.5326,16.0,280.0,16.0,280.0,24.3802,30.442,53.5326,0.656053,28,1
0.8,1.5,0,10,0,0,0,1,3,1726.5,24.01695,30.060850000000002,49.826750000000004,2.0,300.0,0.0,0.422581,98.3625,2.0,300.0,2.0,300.0,0.0,0.422581,98.3625,1.62003,30,0
0.8,1.5,0,10,0,0,0,1,4,1733.0,24.01225,30.040399999999998,48.8989,4.0,290.0,17.7906,21.3133,79.7798,4.0,290.0,4.0,290.0,17.7906,21.3133,79.7798,0.96187,29,0
0.8,1.5,0,10,0,0,0,1,5,1727.5,24.22385,30.317700000000002,49.3208,3.0,300.0,14.2753,17.1122,73.2909,3.0,300.0,3.0,300.0,14.2753,17.1122,73.2909,0.476966,30,0
0.8,1.5,0,10,0,0,0,1,6,1700.5,24.232999999999997,30.283900000000003,49.0977,8.0,290.0,19.7425,23.7174,46.9343,8.0,290.0,8.0,290.0,19.7425,23.7174,46.9343,0.921247,29,0
0.8,1.5,0,10,0,0,0,1,7,1706.0,23.65365,29.53805,49.326499999999996,1.0,290.0,nan,nan,36.0738,1.0,290.0,1.0,290.0,nan,nan,36.0738,0.958003,29,0
0.8,1.5,0,10,0,0,0,1,8,1730.5,24.06,30.0907,49.084900000000005,3.0,290.0,16.4892,21.1908,26.791,3.0,290.0,3.0,290.0,16.4892,21.1908,26.791,1.25836,29,0
0.8,1.5,0,10,0,0,0,1,9,1738.5,24.0105,30.02815,49.3076,2.0,300.0,0.0,1.19324,10.3882,2.0,300.0,2.0,300.0,0.0,1.19324,10.3882,0.710944,30,0
0.8,1.5,0,10,0,0,1,1,0,1679.5,24.1908,30.22635,49.017250000000004,2.0,290.0,0.0,0.491095,24.1983,2.0,290.0,2.0,300.0,0.0,1.7923,25.8129,1.7916,30,0
0.8,1.5,0,10,0,0,1,1,1,1673.0,23.694850000000002,29.665399999999998,49.27535,2.0,300.0,0.0,2.68156,22.6041,2.0,300.0,2.0,300.0,0.0,2.68156,22.6041,1.86693,30,0
0.8,1.5,0,10,0,0,1,1,2,1716.0,24.011400000000002,30.02175,49.6717,27.0,280.0,18.3167,24.0119,41.7912,190.0,820.0,190.0,910.0,1.28236e-13,1.86879,35.199,9.92865,91,1
0.8,1.5,0,10,0,0,1,1,3,1772.0,24.1206,30.16915,49.40815,2.0,310.0,0.0,1.19164,75.0552,2.0,310.0,2.0,320.0,0.0,0.53411,76.2755,0.302138,32,0
0.8,1.5,0,10,0,0,1,1,4,1728.0,23.63725,29.57815,49.1499,0.0,290.0,nan,nan,nan,0.0,290.0,0.0,290.0,nan,nan,nan,nan,29,0
0.8,1.5,0,10,0,0,1,1,5,1766.0,24.129350000000002,30.13815,48.9701,3.0,290.0,13.5771,15.476,69.226,3.0,290.0,3.0,290.0,13.5771,15.476,69.226,1.2639,29,0
0.8,1.5,0,10,0,0,1,1,6,1701.0,23.640900000000002,29.5156,49.963049999999996,3.0,290.0,17.9435,21.7821,65.8817,3.0,290.0,3.0,290.0,17.9435,21.7821,65.8817,0.51608,29,0
0.8,1.5,0,10,0,0,1,1,7,1753.0,23.8269,29.8435,49.385000000000005,2.0,300.0,0.0,1.66161,97.8251,2.0,300.0,2.0,300.0,0.0,1.66161,97.8251,0.939951,30,0
0.8,1.5,0,10,0,0,1,1,8,1684.0,24.055149999999998,30.087400000000002,48.67995,3.0,290.0,11.505,14.9199,78.1553,3.0,290.0,3.0,290.0,11.505,14.9199,78.1553,0.887293,29,0
0.8,1.5,0,10,0,0,1,1,9,1711.0,24.110300000000002,30.1632,50.5602,20.0,290.0,4.49529,6.35622,3.91647,198.0,680.0,171.0,910.0,5.87919e-14,1.86531,2.94643,9.96274,91,1
0.8,1.5,0,10,0,0,2,1,0,1686.5,23.943550000000002,29.9681,49.203,0.0,310.0,nan,nan,nan,0.0,310.0,0.0,310.0,nan,nan,nan,nan,31,0
0.8,1.5,0,10,0,0,2,1,1,1696.0,23.78435,29.835250000000002,48.43515,19.0,280.0,26.8649,33.551,44.7309,19.0,280.0,19.0,280.0,26.8649,33.551,44.7309,0.696231,28,1
0.8,1.5,0,10,0,0,2,1,2,1728.5,23.6284,29.62775,49.79535,1.0,290.0,nan,nan,59.2691,1.0,290.0,1.0,290.0,nan,nan,59.2691,0.635677,29,0
0.8,1.5,0,10,0,0,2,1,3,1720.5,24.033,30.00895,49.42915,2.0,290.0,0.0,0.644256,15.1177,2.0,290.0,2.0,300.0,0.0,0.0717412,14.7128,0.136556,30,0
0.8,1.5,0,10,0,0,2,1,4,1763.0,24.21815,30.2425,49.77225,2.0,290.0,0.0,0.105115,75.9227,2.0,290.0,2.0,290.0,0.0,0.105115,75.9227,0.838743,29,0
0.8,1.5,0,10,0,0,2,1,5,1690.0,23.51585,29.384549999999997,50.036649999999995,6.0,290.0,10.5393,13.2859,74.9884,6.0,290.0,6.0,290.0,10.5393,13.2859,74.9884,0.829656,29,0
0.8,1.5,0,10,0,0,2,1,6,1684.5,24.0199,29.99035,49.51825,2.0,300.0,0.0,0.229956,40.448,2.0,300.0,2.0,310.0,0.0,0.475549,39.9491,0.504921,31,0
0.8,1.5,0,10,0,0,2,1,7,1703.0,23.9991,30.001849999999997,49.06455,3.0,300.0,11.1594,14.2406,54.1531,3.0,300.0,3.0,300.0,11.1594,14.2406,54.1531,0.634392,30,0
0.8,1.5,0,10,0,0,2,1,8,1716.5,24.12505,30.1102,49.63135,2.0,300.0,0.0,1.22299,31.2121,2.0,300.0,2.0,300.0,0.0,1.22299,31.2121,2.14669,30,0
0.8,1.5,0,10,0,0,2,1,9,1725.5,23.9008,29.90485,50.26395,2.0,300.0,0.0,1.50824,42.2495,2.0,300.0,2.0,300.0,0.0,1.50824,42.2495,1.23959,30,0
0.8,1.5,0,10,1,0,0,1,0,1411.5,23.61755,29.5932,48.81455,4.0,290.0,13.7586,17.9273,50.1479,4.0,290.0,4.0,290.0,13.7586,17.9273,50.1479,0.675158,29,0
0.8,1.5,0,10,1,0,0,1,1,1402.5,23.95245,29.8719,49.670249999999996,3.0,290.0,3.01563,4.10755,67.9101,3.0,290.0,3.0,290.0,3.01563,4.10755,67.9101,0.766301,29,0
0.8,1.5,0,10,1,0,0,1,2,1410.0,23.0825,28.864600000000003,47.70635,4.0,290.0,23.7851,29.1548,42.4572,4.0,290.0,4.0,290.0,23.7851,29.1548,42.4572,1.24271,29,0
0.8,1.5,0,10,1,0,0,1,3,1419.0,24.07795,30.1184,50.608149999999995,6.0,300.0,19.1448,19.7862,66.6669,177.0,610.0,109.0,910.0,9.99355e-14,2.06339,73.4207,9.93081,91,1
0.8,1.5,0,10,1,0,0,1,4,1393.5,23.5554,29.44915,49.171800000000005,15.0,280.0,23.2828,29.041,38.0707,15.0,280.0,15.0,280.0,23.2828,29.041,38.0707,0.925472,28,1
0.8,1.5,0,10,1,0,0,1,5,1384.5,23.624299999999998,29.54875,50.5204,3.0,290.0,4.555,7.26958,33.2111,3.0,290.0,3.0,290.0,4.555,7.26958,33.2111,0.955324,29,0
0.8,1.5,0,10,1,0,0,1,6,1423.5,24.084,29.986,49.5423,1.0,290.0,nan,nan,72.6093,1.0,290.0,1.0,290.0,nan,nan,72.6093,0.528311,29,0
0.8,1.5,0,10,1,0,0,1,7,1412.5,23.250999999999998,28.99985,47.7397,2.0,300.0,0.0,1.06444,68.5556,2.0,300.0,2.0,300.0,0.0,1.06444,68.5556,0.399067,30,0
0.8,1.5,0,10,1,0,0,1,8,1395.5,23.947200000000002,30.0357,48.0323,4.0,290.0,32.994,41.3047,70.9602,4.0,290.0,4.0,290.0,32.994,41.3047,70.9602,0.873071,29,0
0.8,1.5,0,10,1,0,0,1,9,1395.5,23.6401,29.610999999999997,51.44535,1.0,290.0,nan,nan,57.5261,1.0,290.0,1.0,290.0,nan,nan,57.5261,0.467721,29,0
