slope,disp,mutsd,pert_treat,patch_sd,ac,draw,batch,pert_value,pert_name,rep,t,n,u_mean,u_sd,u_skew,u_kurt,mal_mean,mal_sd,mal_skew,mal_kurt,nn_mean,nn_sd,nn_skew,nn_kurt,x_mean,x_sd,x_skew,x_kurt
1.0,3,0.75,11,0,0,0,1,0,11,0,10,701,47.5937,27.9258,0.0674979,-1.08481,0.000963258,0.0255036,26.4197,696.001,1.87221,0.957346,0.541653,-0.00718041,47.5947,27.9268,0.0674913,-1.08494
1.0,3,0.75,11,0,0,0,1,0,11,0,20,940,47.3341,28.9349,0.00964246,-1.23108,1.41216,1.11345,0.824482,0.219994,1.5548,0.885309,1.14104,2.05475,47.2703,29.0222,0.0206397,-1.2194
1.0,3,0.75,11,0,0,0,1,0,11,0,30,860,48.3303,29.8501,-0.0224103,-1.25286,1.44822,1.10861,1.02661,1.11676,1.60414,0.928374,1.07294,1.69476,48.3004,29.9144,-0.019474,-1.2588
1.0,3,0.75,11,0,0,0,1,0,11,0,40,837,48.6246,31.2683,-0.0332389,-1.33718,1.45765,1.06637,0.907292,0.742427,1.64124,0.926763,0.97022,1.50208,48.6072,31.2979,-0.0382826,-1.32974
1.0,3,0.75,11,0,0,0,1,0,11,0,50,862,50.7912,30.5708,-0.0895585,-1.24677,1.52631,1.10542,0.901647,0.551058,1.64512,0.899245,1.0421,1.58561,50.7322,30.4824,-0.101401,-1.24459
1.0,3,0.75,11,0,0,0,1,0,11,0,60,845,49.7563,32.114,0.0178095,-1.39461,1.4555,1.11281,0.973255,0.72873,1.58424,0.940288,1.02304,1.31243,49.6904,32.0916,0.00677983,-1.39519
1.0,3,0.75,11,0,0,0,1,0,11,0,70,775,51.1557,32.515,-0.0641625,-1.33669,1.48329,1.084,0.779761,0.150894,1.61302,0.917835,0.885225,0.756263,51.1289,32.3629,-0.0628936,-1.33944
1.0,3,0.75,11,0,0,0,1,0,11,0,80,841,50.1957,32.6459,-0.0659739,-1.36961,1.48227,1.16713,1.05815,1.05303,1.54262,0.974232,1.31414,2.97999,50.0925,32.5735,-0.0671772,-1.3739
1.0,3,0.75,11,0,0,0,1,0,11,0,90,813,48.7899,31.6686,0.0038397,-1.28653,1.4379,1.10972,0.90283,0.274567,1.56463,0.926605,1.15931,2.77419,48.8254,31.5585,0.000245846,-1.28056
1.0,3,0.75,11,0,0,0,1,0,11,0,100,745,48.3208,32.2819,0.0702652,-1.29862,1.41375,1.062,0.888688,0.506505,1.68251,0.97024,0.844635,0.850737,48.3778,32.2383,0.0667768,-1.30986
1.0,3,0.75,11,0,0,0,1,0,11,0,110,776,51.4643,32.3325,-0.0904316,-1.31917,1.49806,1.13798,1.00048,0.799802,1.63037,0.936334,0.949163,1.47907,51.5285,32.2023,-0.0817322,-1.32549
1.0,3,0.75,11,0,0,0,1,0,11,0,120,765,50.4446,32.1959,-0.0663681,-1.30514,1.40854,1.09625,1.033,0.892688,1.56291,0.939404,1.34825,4.41987,50.4505,32.0794,-0.0687284,-1.31644
1.0,3,0.75,11,0,0,0,1,0,11,0,130,787,47.9061,32.2561,0.0807423,-1.39808,1.45888,1.08199,0.89302,0.443608,1.61138,0.963476,1.12449,1.7219,47.8954,32.2138,0.0814436,-1.4068
1.0,3,0.75,11,0,0,0,1,0,11,0,140,808,47.0967,31.6425,0.120652,-1.30175,1.46392,1.10556,1.19885,1.74315,1.59349,0.932675,1.11535,2.12372,47.0886,31.6209,0.104179,-1.31124
1.0,3,0.75,11,0,0,0,1,0,11,0,150,875,47.6075,30.8952,0.111965,-1.26192,1.49181,1.12462,1.074,1.15363,1.50313,0.922644,0.976548,1.36132,47.4772,30.9418,0.108342,-1.26678
1.0,3,0.75,11,0,0,0,1,0,11,0,160,849,47.4913,32.7054,0.023278,-1.32437,1.4535,1.10267,1.07072,1.36641,1.58332,0.946886,0.889843,0.662939,47.4397,32.5722,0.0270382,-1.31113
1.0,3,0.75,11,0,0,0,1,0,11,0,170,848,45.2065,30.8423,0.200141,-1.14258,1.48153,1.14183,1.22351,1.70768,1.54371,0.946898,1.24737,2.51271,45.1879,30.8085,0.200095,-1.14711
1.0,3,0.75,11,0,0,0,1,0,11,0,180,855,43.8106,30.2868,0.292159,-1.03763,1.45957,1.11943,1.00155,0.683347,1.55643,0.875322,0.932815,1.14978,43.7624,30.2294,0.29329,-1.03293
1.0,3,0.75,11,0,0,0,1,0,11,0,190,854,44.7718,30.4911,0.214287,-1.15815,1.47032,1.10713,1.10881,1.34092,1.59902,0.958778,1.04029,1.75003,44.8359,30.3548,0.221426,-1.15258
1.0,3,0.75,11,0,0,0,1,0,11,0,200,924,45.7429,30.6523,0.212006,-1.16312,1.42129,1.06873,0.939715,0.672039,1.52617,0.916005,1.42735,5.48314,45.7515,30.6446,0.214725,-1.15851
1.0,3,0.75,11,0,0,0,1,0,11,0,210,917,50.6023,31.5457,0.0441026,-1.3181,1.50499,1.18662,1.19816,1.91358,1.56945,0.912862,1.1269,2.80282,50.5557,31.4699,0.0433965,-1.31063
1.0,3,0.75,11,0,0,0,1,0,11,0,220,816,51.3344,30.4918,-0.0872465,-1.15059,1.39872,1.06704,1.08235,1.15476,1.6292,0.881077,0.764515,0.81935,51.2533,30.5687,-0.0895412,-1.15142
1.0,3,0.75,11,0,0,0,1,0,11,0,230,844,51.0583,30.9228,-0.0193289,-1.22846,1.49448,1.11337,0.945321,0.474769,1.57862,0.950391,1.57414,5.11362,51.0401,30.9958,-0.0212148,-1.23157
1.0,3,0.75,11,0,0,0,1,0,11,0,240,773,51.3603,31.4922,-0.0544658,-1.19575,1.52106,1.10763,0.872835,0.629261,1.61392,0.989868,1.09265,1.83904,51.3971,31.504,-0.0428975,-1.20956
1.0,3,0.75,11,0,0,0,1,0,11,0,250,670,50.0583,31.3002,-0.082116,-1.17484,1.49131,1.08853,1.003,1.15567,1.65277,0.99807,1.05026,1.91799,49.9869,31.3476,-0.0944633,-1.1782
1.0,3,0.75,11,0,0,0,1,0,11,0,260,822,51.2987,31.9154,-0.00853719,-1.26009,1.51382,1.13108,1.11347,1.81351,1.63218,0.981627,1.19099,2.66696,51.2573,31.6444,-0.00590524,-1.25235
1.0,3,0.75,11,0,0,0,1,11,11,0,270,79,48.9936,28.9298,0.212353,-1.08706,3.12034,4.06503,1.31188,0.120145,5.11355,3.5928,1.52454,2.03325,46.5056,30.3842,0.265151,-1.13295
1.0,3,0.75,11,0,0,0,1,11,11,0,280,53,31.2325,14.7146,1.63749,5.41501,10.0649,3.91739,-1.31206,1.12894,4.01602,9.81982,5.64067,33.6695,21.2646,15.3367,2.27659,9.2064
1.0,3,0.75,11,0,0,0,1,11,11,0,290,84,34.0465,12.6841,-0.101628,-1.2407,10.8761,2.11113,-1.31717,5.9418,1.64246,1.12037,1.4168,1.97885,23.1704,12.406,-0.0232816,-1.31785
1.0,3,0.75,11,0,0,0,1,11,11,0,300,111,34.5322,13.29,-0.0951562,-1.40343,10.6361,2.05636,0.123839,-0.0347707,1.60523,1.20975,1.74624,3.12162,23.8961,13.547,-0.148508,-1.29257
1.0,3,0.75,11,0,0,0,1,11,11,0,310,106,25.9344,13.9824,0.764346,-0.879699,10.5836,2.06389,0.172239,-0.114774,2.09602,1.29975,1.79737,4.38185,15.3507,14.3301,0.786158,-0.817562
1.0,3,0.75,11,0,0,0,1,11,11,0,320,172,25.7234,13.5698,0.735413,-0.772955,10.9349,1.90874,-0.178842,-0.354912,1.56595,1.01601,1.10052,1.18053,14.7885,13.5334,0.710098,-0.764523
1.0,3,0.75,11,0,0,0,1,11,11,0,330,192,27.2404,14.1085,0.604734,-0.917581,10.8646,1.98185,-0.155511,-0.467364,1.68915,1.0965,1.86185,6.05257,16.3758,14.1479,0.610211,-0.924932
1.0,3,0.75,11,0,0,0,1,11,11,0,340,209,26.3157,13.6051,0.654001,-0.816221,10.9882,1.88973,-0.243988,0.872437,1.53431,0.945947,1.05154,1.06477,15.3275,13.3514,0.669886,-0.799826
1.0,3,0.75,11,0,0,0,1,11,11,0,350,232,27.603,12.76,0.711849,-0.579209,10.9248,1.60164,-0.103757,0.527661,1.81179,1.01689,1.24354,2.19189,16.6783,12.8697,0.669441,-0.617614
1.0,3,0.75,11,0,0,0,1,11,11,0,360,239,28.7027,14.6293,0.487293,-1.056,10.9526,1.74045,0.182447,0.542889,1.65606,0.962676,0.898019,1.43294,17.7501,14.5445,0.524092,-1.06932
1.0,3,0.75,11,0,0,0,1,11,11,0,370,196,30.5314,15.9495,0.330063,-1.38058,10.873,1.73204,-0.255935,0.384972,1.84672,1.20588,0.972431,0.664257,19.6584,15.9576,0.338599,-1.35703
1.0,3,0.75,11,0,0,0,1,11,11,0,380,302,32.5515,16.5206,0.240421,-1.54617,10.9764,1.99137,0.0263597,-0.104684,1.61378,1.12683,2.48324,14.4446,21.5751,16.5682,0.225227,-1.51151
1.0,3,0.75,11,0,0,0,1,11,11,0,390,320,30.3727,15.6213,0.474167,-1.2845,10.9294,1.91271,-0.0942014,-0.0738794,1.59999,0.888572,0.891516,0.962264,19.4433,15.7316,0.466447,-1.24547
1.0,3,0.75,11,0,0,0,1,11,11,0,400,339,32.4234,14.6165,0.309349,-1.27981,11.0941,1.75289,0.131453,-0.209128,1.63992,0.91781,1.2095,2.89861,21.3293,14.7499,0.310524,-1.24598
1.0,3,0.75,11,0,0,0,1,11,11,0,410,360,31.5494,15.5663,0.318954,-1.32788,11.012,1.81113,-0.209815,0.238591,1.5434,1.00291,1.59877,5.88551,20.5374,15.4562,0.300336,-1.3064
1.0,3,0.75,11,0,0,0,1,11,11,0,420,428,34.2694,16.3937,0.00787076,-1.3686,10.9208,1.90628,-0.0602219,-0.0373842,1.59787,0.924119,0.856268,0.846203,23.3486,16.604,0.0213377,-1.37411
1.0,3,0.75,11,0,0,0,1,11,11,0,430,489,35.2348,16.4675,-0.0385522,-1.29419,10.9002,1.82985,-0.195248,-0.120352,1.49587,0.863865,0.924002,0.727549,24.3346,16.5374,-0.0247657,-1.26618
1.0,3,0.75,11,0,0,0,1,11,11,0,440,477,36.9753,16.0007,-0.037304,-1.12654,10.8081,1.84498,-0.0789995,-0.268031,1.61243,0.909863,0.971072,1.48174,26.1672,16.0759,-0.0188696,-1.13324
1.0,3,0.75,11,0,0,0,1,11,11,0,450,498,34.1096,16.7036,0.104445,-1.26763,11.0677,1.8014,-0.0120095,-0.201617,1.52058,0.91914,0.898314,0.903471,23.0419,16.7654,0.112951,-1.27688
1.0,3,0.75,11,0,0,0,1,11,11,0,460,495,36.2498,17.0325,0.00363023,-1.1963,10.7997,1.81239,0.000274748,-0.0698737,1.5481,0.979646,1.15402,1.64991,25.45,16.7992,0.0076082,-1.18882
1.0,3,0.75,11,0,0,0,1,11,11,0,470,407,34.6347,17.9449,0.255542,-1.21812,10.9544,1.8217,0.0200931,0.268439,1.72265,0.945578,0.675672,0.433768,23.6803,18.0131,0.277617,-1.19655
1.0,3,0.75,11,0,0,0,1,11,11,0,480,406,34.2565,17.5703,0.0865901,-1.27067,10.8667,1.82596,0.116723,0.226176,1.70847,1.09991,0.987349,1.35981,23.3898,17.5875,0.130676,-1.24506
1.0,3,0.75,11,0,0,0,1,11,11,0,490,447,33.8038,18.1913,0.316828,-1.26168,10.9587,1.98843,0.105622,-0.0989909,1.5607,0.9682,1.24829,2.21139,22.845,18.2847,0.332757,-1.23919
1.0,3,0.75,11,0,0,0,1,11,11,0,500,391,37.5314,17.5225,-0.116275,-1.22139,11.008,1.83595,0.0254082,-0.139849,1.63267,1.01698,1.29578,2.97071,26.5233,17.5836,-0.111633,-1.22095
1.0,3,0.75,11,0,0,0,1,11,11,0,510,440,36.9735,18.6551,-0.0333432,-1.33013,10.9022,1.65553,0.120691,0.0152668,1.52138,1.02217,1.14876,1.5,26.0714,18.6418,-0.0131502,-1.31319
1.0,3,0.75,11,0,0,0,1,11,11,0,520,437,36.6038,18.6409,0.0983515,-1.2042,11.0564,1.92299,0.00660386,-0.332545,1.66754,0.98806,1.48393,4.11647,25.5474,18.5544,0.123468,-1.1978
1.0,3,0.75,11,0,0,0,1,11,11,0,530,449,38.4243,19.8053,0.0671931,-1.21845,10.9645,1.77963,-0.183447,-0.206909,1.55927,1.06675,1.82326,5.99039,27.4598,19.7596,0.0595628,-1.24181
1.0,3,0.75,11,0,0,0,1,11,11,0,540,553,35.5456,19.0563,0.25966,-1.18277,10.9478,1.90296,-0.0125765,0.434699,1.45605,0.946055,1.7661,6.21687,24.5978,19.0828,0.288194,-1.14663
1.0,3,0.75,11,0,0,0,1,11,11,0,550,460,38.4717,19.3063,0.0404169,-1.26046,10.8714,1.78488,0.124153,0.114237,1.55412,0.95317,1.30925,3.42466,27.6003,19.3141,0.043286,-1.24955
1.0,3,0.75,11,0,0,0,1,11,11,0,560,441,39.2848,18.94,0.0145725,-1.25018,10.8903,1.7436,0.155585,-0.138687,1.64984,0.987146,1.38817,3.2193,28.3945,18.9963,0.0361577,-1.23652
1.0,3,0.75,11,0,0,0,1,11,11,0,570,465,39.8699,19.1995,-0.0647054,-1.24613,10.8957,1.84445,0.0581757,-0.172424,1.60413,0.996871,1.36239,3.52522,28.9742,19.1053,-0.0431316,-1.24539
1.0,3,0.75,11,0,0,0,1,11,11,0,580,505,36.59,19.0809,0.115705,-1.30798,10.9537,1.85625,0.0912351,-0.357383,1.60008,0.992781,1.27609,2.46036,25.6363,19.1764,0.146023,-1.26921
1.0,3,0.75,11,0,0,0,1,11,11,0,590,523,37.604,19.6092,-0.0651313,-1.35064,10.891,1.77813,-0.056313,0.126096,1.52174,1.04347,1.73445,6.60903,26.713,19.5904,-0.0298125,-1.33335
1.0,3,0.75,11,0,0,0,1,11,11,0,600,456,40.6574,18.7391,-0.282635,-1.12158,10.8516,1.8562,0.305673,0.913567,1.64688,0.984981,1.32435,2.87969,29.8058,18.6685,-0.258109,-1.14519
1.0,3,0.75,11,0,0,0,1,11,11,0,610,489,39.4359,19.4553,-0.0403655,-1.19716,11.0881,1.84666,-0.0769958,-0.406795,1.54783,0.981295,1.25417,3.30138,28.3478,19.3788,-0.0345193,-1.22364
1.0,3,0.75,11,0,0,0,1,11,11,0,620,414,37.2979,18.8927,0.101762,-1.25428,10.9058,1.87342,0.0133987,-0.141749,1.79623,1.00765,0.72125,0.280737,26.3921,18.8574,0.11664,-1.23739
1.0,3,0.75,11,0,0,0,1,11,11,0,630,413,39.3021,19.4826,0.0612111,-1.34356,10.8046,1.77335,0.00269352,0.0524303,1.63633,1.10059,1.47847,2.90089,28.4975,19.5998,0.0768758,-1.32525
1.0,3,0.75,11,0,0,0,1,11,11,0,640,424,40.4545,20.4841,-0.0204678,-1.42191,10.7309,1.91391,-0.0576651,0.179353,1.70967,0.999794,1.24708,2.3338,29.7236,20.4382,-0.017551,-1.39177
1.0,3,0.75,11,0,0,0,1,11,11,0,650,476,40.6967,20.8206,-0.0431564,-1.44636,11.0604,1.90294,-0.0234387,0.0734802,1.67024,0.975887,1.55081,4.01621,29.6363,20.7498,-0.0357468,-1.42698
1.0,3,0.75,11,0,0,0,1,11,11,0,660,522,41.4415,20.7248,-0.0786415,-1.474,11.0109,1.87689,-0.149043,-0.209454,1.62184,0.915264,1.48059,3.8921,30.4306,20.7273,-0.0728298,-1.45608
1.0,3,0.75,11,0,0,0,1,11,11,0,670,581,40.3734,21.2503,0.0195343,-1.49784,10.9675,1.81254,-0.0581218,0.1243,1.496,0.910789,1.38591,4.61384,29.4059,21.2696,0.0288313,-1.46522
1.0,3,0.75,11,0,0,0,1,11,11,0,680,565,42.2643,21.7424,-0.00746799,-1.36387,10.8218,1.80097,0.224639,-0.235394,1.62101,0.926897,1.23696,3.88161,31.4425,21.7073,0.00231317,-1.35839
1.0,3,0.75,11,0,0,0,1,11,11,0,690,572,43.4119,22.6746,-0.0518193,-1.41519,10.9406,1.91707,-0.0494624,-0.396301,1.58223,0.894581,1.1968,2.76177,32.4713,22.6637,-0.0303246,-1.40488
1.0,3,0.75,11,0,0,0,1,11,11,0,700,548,42.7543,21.5652,-0.0399557,-1.34378,10.8928,1.90446,0.057342,-0.273014,1.61796,1.00858,2.18818,10.9342,31.8615,21.6034,-0.0259809,-1.31507
1.0,3,0.75,11,0,0,0,1,11,11,0,710,568,41.2483,21.0082,0.0564687,-1.27358,10.9364,1.8586,-0.130976,0.0849959,1.67013,0.961285,1.11419,1.99935,30.3119,20.9404,0.0801784,-1.23913
1.0,3,0.75,11,0,0,0,1,11,11,0,720,572,40.647,21.0908,0.221592,-1.15972,10.9567,1.81265,-0.161014,-0.0161318,1.59186,0.907622,0.976303,1.1334,29.6903,21.2414,0.228602,-1.1647
1.0,3,0.75,11,0,0,0,1,11,11,0,730,576,40.0851,20.9356,0.157693,-1.16323,10.9264,1.8155,-0.0222074,0.00662104,1.62843,0.898694,0.853797,1.37614,29.1587,20.8893,0.164645,-1.1723
1.0,3,0.75,11,0,0,0,1,11,11,0,740,580,41.5759,21.5307,0.136744,-1.22571,10.9509,1.79522,-0.0445704,-0.146693,1.68728,1.01354,1.3352,3.33404,30.625,21.5144,0.15545,-1.19256
1.0,3,0.75,11,0,0,0,1,11,11,0,750,554,42.7132,22.1425,0.0740054,-1.27581,10.8931,1.83572,0.136804,-0.151272,1.72087,0.974144,1.31735,3.66989,31.8201,22.0231,0.0937976,-1.27284
1.0,3,0.75,11,0,0,0,1,11,11,0,760,529,42.4313,22.5571,0.220642,-1.22527,10.8746,1.74841,-0.0766832,-0.0667101,1.59508,0.996231,1.18326,2.04396,31.5567,22.5954,0.234799,-1.21598
1.0,3,0.75,11,0,0,0,1,11,11,0,770,541,43.6586,23.6022,0.16933,-1.27559,10.9938,1.77472,-0.123951,0.122502,1.59509,0.971381,1.72746,6.07062,32.6648,23.5406,0.1757,-1.24444
1.0,3,0.75,11,0,0,0,1,11,11,0,780,534,44.1387,23.3593,0.123613,-1.30374,10.8514,1.89515,0.0537067,-0.147781,1.68742,1.01954,1.76345,6.51717,33.2873,23.3374,0.129398,-1.28591
